word_spelling,word_type,word_definition,word_example,word_attempts,word_correct,word_wrong,word_percentage
enervate,verb,To sap energy from someone.,John preferred to avoid equatorial countries.  The intense sun would always leave him enervated after he had spent the day sightseeing.,0,0,0,0
engender,verb,To give rise to something.,The restrictions of the Treaty of Versailles were so severe that they engendered deep hatred and resentment in the German people.,0,0,0,0
entrenched,adjective,Fixed firmly or securely.,"By the time we reach 60 years of age, must of our habits are so entrenched that it is difficult for us to change.",0,0,0,0
ephemeral,adjective,Last a very short time.,"The lifespan of a mayfly is ephemeral, lasting from a few hours to a couple days.",0,0,0,0
equivocal,adjective,Confusing or ambiguous.,The findings of the study wee equivocal.  The two researchers had different opinions on what the results signified.,0,0,0,0
eschew,verb,To avoid.  To stay away from something.,He eschew the question.,0,0,0,0
exacerbate,verb,To make worse.,Her sleeplessness exacerbated her cold.,0,0,0,0
extant,adjective,Still in existence.  Usually refers to documents.,"Despite many bookstores closing, experts predict that some for of book dealing will still be extant generations from now.",0,0,0,0
fallacious,adjective,A belief that is based on faulty reasoning.,"The widespread belief that Eskimos have forty different words for snow is fallacious, based on one false report.",0,0,0,0
forlorn,adjective,Characterized by hopelessness.,"After the third pet dog died, she was simply forlorn.  This time even the possibility of buying a new dog no longer held any joy.",0,0,0,0
fortuitous,adjective,Occurring my happy chance.  Having no apparent cause.,"Though her neighbor bumped into her at the market, the encounter was not a fortuitous as she was led to believe.  He wanted to ask her our on a date and had been following her about town.",0,0,0,0
frivolous,adjective,"Not serious in content, attitude, or behavior.","Compared too Juliet''s passionate concern for human rights, Jake''s non-stop concern about football seems somewhat frivolous.",0,0,0,0
frugal,adjective,Spending money wisely.,"Monte was no miser.  He was simply frugal, wisely spending the little that he earned.",0,0,0,0
frustrate,verb,"To hinder or prevent.  Especially regarding efforts, plans, or desires.","I thought I would finish writing the paper by noon, but a number of urgent interruptions served to frustrate my plan.",0,0,0,0
gainsay,verb,To deny or contradict.  To speak against or oppose.,"I cannot gainsay a single piece of evidence, but I still do not trust his conclusion.",0,0,0,0
gall,noun,Being rude and impertinent.  Feeling of deep and bitter anger and ill will.,"In an act of gall, Leah sent compromising photos of here ex-boyfriend to all of his co-workers and professional contacts.",0,0,0,0
galvanize,verb,To excite or inspre someone to action.,"At mile 23 of his first marathon, Kyle had all but given up.  Then he noticed his friends and family holding a banner that read ''Go Kyle''.  Galvanized, he broke INTO a gallop, finishing the last three miles in less than 20 minutes.",0,0,0,0
germane,adjective,Relevant.  Appropriate.,"The professor wanted to tell the jury in detail about his new book.  However, the lawyer said it was not germane to the charges in the case.",0,0,0,0
glut,noun or verb,An excessive supply.  To supply with an excessive amount.,"In the middle of economic crises, hiring managers find their inboxes glutted with resumes.",0,0,0,0
gossamer,adjective,Characterized by unusual lightness and delicacy.,"The gossamer wings of a butterfly enable it to fly. However, they are also a curse because they are so delicate that they are often damaged.",0,0,0,0
gregarious,adjective,To socialize with others.,"Often we think that great leaders are those who are gregarious, always in the middle of a large group of people.  Ye, as Mahatma Gandhi has shown us, a leader can also be introverted.",0,0,0,0
guileless,adjective,Free of deceit.,"At first I thought my niece was guileless, but then I found myself buying her ice cream every time we passed a shop.",0,0,0,0
harangue,verb,To deliver a long pompous speech or tirate.,"Tired of his parents haranguing him about his laziness, Tyler finally moved out of home at the age of thirty-five.",0,0,0,0
haughty,adjective,Showing arrogant disdain to those ones views as unworthy.,The haughty manager did not believe that any of his subordinates could ever have an insight as brilliant as his own.,0,0,0,0
heretic,noun,A person who holds unorthodox opinions in any field.,"Though everyone at the gym told him to do cardio before weights, he was a heretic and always did the reverse.",0,0,0,0
iconoclast,noun,Someone who attacks cherished beliefs or institutions.,"Lady Gaga, in challenging what is means to be clothed, is an iconoclast for wearing a ''meat dress'' to a prominent awards show.",0,0,0,0
immutable,adjective,Cannot be changed.,"Taxes are one of the immutable laws of the land, so there is no use arguing about paying them.",0,0,0,0
impertinent,adjective,Being disrepectful.  Improperly forward or bold.,"Dexter, distraught over losing his pet dachshund, Madeline, found the police officer''s question impertinent.  She did not have to pry INTO such details as to what Madeline''s favorite snack was.",0,0,0,0
impudent,adjective,Improperly forward or bold.,"In an impudent act, the defendant spoke out of order to say terribly insulting things to the judge.",0,0,0,0
incisive,adjective,The ability to recognize fine distinctions.,"The lawyer had an incisive mind, able to dissect a tangled issue and isolate the essential laws at play.",0,0,0,0
incongruous,adjective,Lacking in harmony.  Lacking in compatibility or appropriateness,The vast economic inequality of modern society is incongruous with America's ideals.,0,0,0,0
inexorable,adjective,Impossible to stop or prevent.,The rise of the computer was n inexorable shift in technology and culture.,0,0,0,0
ingenuous,adjective,To be naive and innocent.,"Two years in Manhattan had changed Jenna from an ingenuous girl from the suburbs to a jaded urbanite, unlikely to fall for any ruse, regardless of how elaborate.",0,0,0,0
innocuous,adjective,Harmless.  Does not produce any ill effects.,"Everyone found Nancy''s banter innocuous.  Mike, however, felt like she was intentionally picking on him.",0,0,0,0
insidious,adjective,"Working in a subtle, destructive way.","Plaque is insidious.  We cannot see it, but each day it eats away at our enamel, causing cavities and other dental problems.",0,0,0,0
intimate,verb,To suggest something subtly.,"At first Manfred''s teachers intimated to his parents that he was not suited to skip a grade.  When his parents protested, the teachers explicitly told him that, not withstanding the boy''s precocity, he was simply was simply to immature to jump to the sixth grade.",0,0,0,0
involved,adjective,Complicated.  Difficult to comprehend.,The physics lecture became to involved that the undergraduate's eyes glazed over.,0,0,0,0
itinerant,adjective,Traveling from place to place to work.,"Doctors used to be itinerant, traveling between patients'' homes.",0,0,0,0
jingoism,noun,Fanatical patriotism.,North Korea maintains intense control over its population through a combination of jingoism and cult of personality.,0,0,0,0
jubilant,adjective,Full of delight because of success.,My hard work paid off and I was jubilant to receive a perfect score on the GRE.,0,0,0,0
juxtapose,verb,To place side by side for contrast.,The appeal of her paintings comes from a classical style which is juxtaposed with modern themes.,0,0,0,0
laconic,adjective,"A writing, speech, or person of few words.",The laconic paper was a single page.,0,0,0,0
lambast,verb,To criticize severely.  To criticize angrily.,"Showing no patience, the manager lambasted the sales team that lost the big account.",0,0,0,0
languid,adjective,Slow and relaxed.  Not inclined towards physical exertion or effort.,"As the sun beat down and the temperature climbed higher, we spent a languid week lying around the house.",0,0,0,0
magnanimous,adjective,Noble an generous in spirit.  Especially towards a rival or someone less powerful.,He was a great sportsman.  In defeat he was complimentary and in victory he was magnanimous.,0,0,0,0
maintain,verb,To assert.,The scientist maintained that the extinction of dinosaours was likely brought about by the drastic change in climate.,0,0,0,0
mawkish,adjective,Overly sentimental to the point that it is disgusting.,The film was incredibly mawkish.  It introduced highly likeable characters only to have them succumb to a devastating illness by the end of the movie.,0,0,0,0
mercurial,adjective,Prone to unexpected and unpredictable changes in mood.  Refers to a person.,The fact that Ella's moods were as mercurial as the weather was problematic for her relationships.  It did not help that she lived in Chicago.,0,0,0,0
meticulous,adjective,Characterized by extreme care in treatment of details.,The noodle maker was meticulous in making noodles and would never let another person take over the task.,0,0,0,0
mitigate,verb,Lessen the severity of an offense.,"If it were not for the mitigating circumstances, he would have certainly lost his job.",0,0,0,0
mollify,verb,To make an angry person less angry.  Placate.,"In the morning, she was unable to mollify him, if he happened to become angry, unless he had his cup of coffee.",0,0,0,0
negligible,adjective,So small as to be meaningless.  Insignificant.,"The GRE tests cumulative knowledge.  So if  you cram the night before it is, at best, likely to only have a negligible impact on your score.",0,0,0,0
obscure,adjective,Known by only a few.,Many of the biggest movie stars were once obscure actors who got only bit roles in long forgotten films.,0,0,0,0
panache,noun,Distinctive and showy elegance.,"He, with his typical panache, came to the wedding reception with a top hat and cane.",0,0,0,0
parochial,adjective,Narrowly restricted in scope or outlook.,"Jasmine was sad to admit it, but her fledgling relationship with Jacob did not work out because his culinary tastes were simply too parochial.  ''After all,'' she quipped on her blog, ''he considered Chef Boyardee ethnic food.''",0,0,0,0
parsimonious,adjective,Extremely frugal.  Miserly.,Katie is so parsimonious that she only buys a pair of socks if all of here other socks have holes in them.,0,0,0,0
perfidy,noun,An act of deliberate betrayal.  A breach of trust.,"Sure, he was the best salesman in the company.  However, Michael had abused the trust of the firm.  He shared product secrets with a competitor.  For such perfidy he was terminated.",0,0,0,0
platitude,noun,A trite or obvious remark.,"The professor argued that many statements regard as wise in previous times, such as the Golden Rule, are now regarded as mere platitudes.",0,0,0,0
preclude,verb,To keep from happening.  To make impossible.,"The manager specified that all other gates be locked, to preclude the possibility of persons without tickets entering the area.",0,0,0,0
precocious,adjective,Characterized by early maturity.  Especially in mental aptitude.,"Though only seven years old, she was a precocious chess prodigy, able to beat players twice her age.",0,0,0,0
predilection,noun,A strong liking to something.,Monte had a predilection for the fine things in life.,0,0,0,0
prescience,noun,The power to foresee the future.,Baxter's warnings about investing in technology stocks seemed like an act of prescience after the whole market declined significantly.,0,0,0,0
prevaricate,verb,To speak in an evasive way.,"The cynic quipped, ''There is not much variance in politicians.  They all seem to prevaricate''.",0,0,0,0
prodigal,adjective,Rashly or watefully extravagant.,Successful professional athletes who do not fall prey to prodigality seem tobe the exception.  Most live decadent lives.,0,0,0,0
profligate,noun,Some one who spends resources recklessly.,"Most lottery winners go from being parsimonious types to toutright profligates who blow millions on fast cars, lavish homes, and giant yachts.",0,0,0,0
qualify,adjective,"To make less severe.  To limit, usually in a statement.","Chris qualified his love for San Francisco, adding he did not like the weather there as much as he liked the weather in Los Angeles.",0,0,0,0
querulous,adjective,Habitually complaining.,The querulous old woman was beginning o wear down even the happier members of the staff with here ceaseless complaining.,0,0,0,0
quotidian,adjective,Found in the ordinary course of events.,"He gets so involved thinking about Aristotle''s arguments that he totally forgets quotidian concerns, such a exercising and eating regularly.",0,0,0,0
recondite,adjective,Difficult to comprehend.,I found Ulysses recondite and never finished the book.  I am waiting to read it with someone else so we could penetrate its meaning together.,0,0,0,0
refractory,adjective,Resistant to authority.  Resistant to control.,"Accustomed to studious high school students, she was unprepared for the refractory kindergartners who neither sat still nor listen to a single word she said.",0,0,0,0
restive,adjective,Restless.,The crowd grew restive as the comedian's opening jokes fell flat.,0,0,0,0
reticent,adjective,Reluctant to talk.  Not revealing thoughts.,"When asked about her father, Helen lost here outward enthusiasm and became rather eticent.",0,0,0,0
rudimentary,adjective,Being in the earliest states of development.  Involving basic facts or principles.,"I would love to be able to present a fully polished proposal to the board.  However, our plans for the product are still in the most rudimentary stages.",0,0,0,0
rustic,adjective,Characteristic of rural life.  Awkwardly simple and provincial.,"The vacation cabin had no electricity and no indoor plumbing.  Despite these inconveniences, Nigel adored its rustic charm.",0,0,0,0
spurious,adjective,Something plausible but false.,"When listening to a politician speak, it is hard to distinguish the spurious claims from the authentic ones.",0,0,0,0
staunch,adjective,Dependable loyalty.,No longer a staunch supporter of the movement he now will openly question whether its goals are worthwhile.,0,0,0,0
subsume,verb,To contain or include.,"The rogue wave quickly subsumed the pier.  The novel subsumes all other novels, demonstrating modern literary devices.",0,0,0,0
superfluous,adjective,"more than is needed, desired, or required.",The third paragraph in your essay is superfluous and can be deleted.,0,0,0,0
supplant,verb,To take the place of something  To move into the position of something.,"For many, a cellular telephone has supplanted the traditional telephone.  In fact, most twenty-year-olds do not have a traditional telephone. ",0,0,0,0
tantamount,adjective,Essentially being equal to something.,"In many situations, remaining silent is tantamount to admitting guilt, so speak to prove your innocence.",0,0,0,0
tenacious,adjective,Unyielding.,Even the most tenacious advocates for gun ownership must admit some of the dangers that firearms present.,0,0,0,0
torpor,noun,Inactivity resulting from lethargy.,"After work, I was expecting my colleagues to be enthusiastic about the outing.  However, I found them in a state of complete torpor.",0,0,0,0
travesty,noun,An absurd presentation of something.  A mockery.,"What I expected to be an intelligent, nuanced historical documentary turned out to be a poorly-produced travesty of the form.",0,0,0,0
treacherous,adjective,Tending to betray.  Dangerously unstable and unpredictable.,The bridge built from twine and vine is treacherous to walk across.,0,0,0,0
undermine,verb,To weaken.  Usually paired with an abstract term.,The student undermined the teacher's authority by questioning the teacher's judgment on numerous occasions.,0,0,0,0
unequivocal,adjective,Having only one meaning or interpretation and leading to only one conclusion.,"The President''s first statement on the subject was vague and open to competing interpretations.  When he spoke to Congress about the same subject later, hes was careful to make his position completely unequivocal.",0,0,0,0
upbraid,verb,To scold.  To reproach.,Bob took a risk walking INTO the Students Barbershop.  In the end he had to upbraid the apparently drunk barber for giving him an uneven bowl cut.,0,0,0,0
vehement,adjective,Marked by extreme intensity of emotions.,"While the other employees responded to the bad news in a measured way, he responded in a vehement manner, tipping over his desk and shouting at the top of his lungs.",0,0,0,0
venality,noun,The condition of being suscptible to bribes or corruption.,Even some of the most sacred sporting events are not immune to venality.  Many of the officials have received substantial bribes to make biased calls.,0,0,0,0
venerate,verb,To respect deeply.,"The professor, despite his sleep-inducing lectures, was venerated amongst his colleagues, publishing more papers yearly than al of his peers combined.",0,0,0,0
veracious,adjective,Truthful.,"While we elect our leaders in the hope that every word they speak will be veracious, history has shown that such a hope is naive.",0,0,0,0
vilify,verb,To spread negative information about a person.,"He was noble after the divorce, choosing to say only complimentary things about here.  However, she did not hesitate to vilify him.",0,0,0,0
vindicate,verb,To clear of accusation.  Done with supporting arguments or proof.,Even seven Tour de France wins cannot vindicate Lance Armstring in the eyes of the public.  ,0,0,0,0
vociferous,adjective,Conspicuously and offensively loud.  Given to vehement outcry.,"In giving her a vociferous response, he caused people at every other table to turn around and look at them angrily",0,0,0,0
volubility,noun,The quality of talking or writing easily and continuously.,The professor's volubility knows no bounds.  He could talk through a hurricane and elaborate a point from one St. Patrick's Day to the next.,0,0,0,0
wanting,adjective,Lacking.,"She did not think here vocabulary was wanting.  However, there were so many words that inevitably she found a few she did not know.",0,0,0,0
